COMUNE,PRO_COM_T,Abitanti,Capoluogo,Sigla
Fobello,002057,186,Vercelli,VC
Fontanetto Po,002058,1091,Vercelli,VC
Formigliana,002059,487,Vercelli,VC
Ghislarengo,002062,826,Vercelli,VC
Greggio,002065,346,Vercelli,VC
Guardabosone,002066,340,Vercelli,VC
Lamporo,002067,521,Vercelli,VC
Lenta,002068,813,Vercelli,VC
Lignana,002070,545,Vercelli,VC
Livorno Ferraris,002071,4306,Vercelli,VC
Sant'Angelo Muxaro,084039,1241,Agrigento,AG
Santo Stefano Quisquina,084040,4337,Agrigento,AG
Siculiana,084042,4313,Agrigento,AG
Villafranca Sicula,084043,1371,Agrigento,AG
Acquaviva Platani,085001,918,Caltanissetta,CL
Bompensiere,085002,526,Caltanissetta,CL
Butera,085003,4411,Caltanissetta,CL
Campofranco,085005,2854,Caltanissetta,CL
Delia,085006,4106,Caltanissetta,CL
Marianopoli,085008,1737,Caltanissetta,CL
Milena,085010,2888,Caltanissetta,CL
Montedoro,085011,1462,Caltanissetta,CL
Resuttano,085014,1862,Caltanissetta,CL
San Venanzo,055030,2197,Terni,TR
Stroncone,055031,4766,Terni,TR
Avigliano Umbro,055033,2453,Terni,TR
Arlena di Castro,056002,837,Viterbo,VT
Bagnoregio,056003,3556,Viterbo,VT
Barbarano Romano,056004,1030,Viterbo,VT
Bassano Romano,056005,4729,Viterbo,VT
Bassano in Teverina,056006,1283,Viterbo,VT
Blera,056007,3127,Viterbo,VT
Bolsena,056008,3865,Viterbo,VT
Bomarzo,056009,1743,Viterbo,VT
Calcata,056010,907,Viterbo,VT
Canepina,056011,3032,Viterbo,VT
Capodimonte,056013,1690,Viterbo,VT
Carbognano,056016,1937,Viterbo,VT
Castel Sant'Elia,056017,2557,Viterbo,VT
Castiglione in Teverina,056018,2305,Viterbo,VT
Celleno,056019,1308,Viterbo,VT
Cellere,056020,1110,Viterbo,VT
Civitella d'Agliano,056022,1551,Viterbo,VT
Corchiano,056023,3672,Viterbo,VT
San Biagio Platani,084035,3088,Agrigento,AG
Santa Elisabetta,084037,2267,Agrigento,AG
Bolzano Novarese,003022,1170,Novara,NO
Borgolavezzaro,003023,2009,Novara,NO
Briga Novarese,003026,2818,Novara,NO
Briona,003027,1121,Novara,NO
Caltignaga,003030,2504,Novara,NO
Carpignano Sesia,003036,2510,Novara,NO
Casalbeltrame,003037,974,Novara,NO
Casaleggio Novara,003039,911,Novara,NO
Casalino,003040,1531,Novara,NO
Casalvolone,003041,888,Novara,NO
Castellazzo Novarese,003042,324,Novara,NO
Cavaglietto,003044,389,Novara,NO
Cavaglio d'Agogna,003045,1185,Novara,NO
Cavallirio,003047,1314,Novara,NO
Colazza,003051,467,Novara,NO
Comignago,003052,1245,Novara,NO
Cressa,003055,1608,Novara,NO
Cureggio,003058,2594,Novara,NO
Divignano,003060,1402,Novara,NO
Dormelletto,003062,2573,Novara,NO
Fara Novarese,003065,2027,Novara,NO
Fontaneto d'Agogna,003066,2620,Novara,NO
Garbagna Novarese,003069,1424,Novara,NO
Gargallo,003070,1775,Novara,NO
Ghemme,003073,3467,Novara,NO
Granozzo con Monticello,003077,1345,Novara,NO
Grignasco,003079,4379,Novara,NO
Invorio,003082,4328,Novara,NO
Landiona,003083,547,Novara,NO
Lesa,003084,2212,Novara,NO
Maggiora,003088,1639,Novara,NO
Mandello Vitta,003090,227,Novara,NO
Marano Ticino,003091,1639,Novara,NO
Massino Visconti,003093,1107,Novara,NO
Meina,003095,2441,Novara,NO
Mezzomerico,003097,1237,Novara,NO
Miasino,003098,787,Novara,NO
Momo,003100,2481,Novara,NO
Nebbiuno,003103,1797,Novara,NO
Nibbiola,003104,814,Novara,NO
Oleggio Castello,003109,2174,Novara,NO
Orta San Giulio,003112,1341,Novara,NO
Paruzzaro,003114,2173,Novara,NO
Pella,003115,928,Novara,NO
Pettenasco,003116,1350,Novara,NO
Pisano,003119,814,Novara,NO
Pogno,003120,1381,Novara,NO
Pombia,003121,2140,Novara,NO
Prato Sesia,003122,1868,Novara,NO
Recetto,003129,945,Novara,NO
Romagnano Sesia,003130,3860,Novara,NO
San Maurizio d'Opaglio,003133,3039,Novara,NO
San Nazzaro Sesia,003134,740,Novara,NO
San Pietro Mosezzo,003135,1958,Novara,NO
Sillavengo,003138,554,Novara,NO
Sizzano,003139,1407,Novara,NO
Soriso,003140,747,Novara,NO
Sozzago,003141,1078,Novara,NO
Suno,003143,2731,Novara,NO
Terdobbiate,003144,467,Novara,NO
Tornaco,003146,921,Novara,NO
Vaprio d'Agogna,003153,976,Novara,NO
Varallo Pombia,003154,4922,Novara,NO
Vespolate,003158,2028,Novara,NO
Vicolungo,003159,867,Novara,NO
Vinzaglio,003164,546,Novara,NO
Sutera,085020,1299,Caltanissetta,CL
Vallelunga Pratameno,085021,3331,Caltanissetta,CL
Villalba,085022,1526,Caltanissetta,CL
Aidone,086002,4674,Enna,EN
Agrate Conturbia,003001,1572,Novara,NO
Ameno,003002,958,Novara,NO
Armeno,003006,2162,Novara,NO
Barengo,003012,760,Novara,NO
Biandrate,003018,1296,Novara,NO
Boca,003019,1152,Novara,NO
Bogogno,003021,1275,Novara,NO
Carrù,004043,4345,Cuneo,CN
Cartignano,004044,174,Cuneo,CN
Bairo,001015,802,Torino,TO
Balangero,001016,3136,Torino,TO
Baldissero Canavese,001017,535,Torino,TO
Baldissero Torinese,001018,3659,Torino,TO
Balme,001019,112,Torino,TO
Banchette,001020,3225,Torino,TO
Barbania,001021,1598,Torino,TO
Bardonecchia,001022,3159,Torino,TO
Barone Canavese,001023,578,Torino,TO
Bibiana,001025,3476,Torino,TO
Bobbio Pellice,001026,546,Torino,TO
Bollengo,001027,2135,Torino,TO
Borgiallo,001029,597,Torino,TO
Borgofranco d'Ivrea,001030,3631,Torino,TO
Borgomasino,001031,796,Torino,TO
Borgone Susa,001032,2210,Torino,TO
Bosconero,001033,3107,Torino,TO
Bricherasio,001035,4600,Torino,TO
Brosso,001036,401,Torino,TO
Brozolo,001037,443,Torino,TO
Brusasco,001039,1498,Torino,TO
Bruzolo,001040,1519,Torino,TO
Cantoira,001054,585,Torino,TO
Caprie,001055,2078,Torino,TO
Caravino,001056,911,Torino,TO
Carema,001057,765,Torino,TO
Buriasco,001041,1355,Torino,TO
Burolo,001042,1135,Torino,TO
Busano,001043,1637,Torino,TO
Cafasse,001046,3383,Torino,TO
Campiglione Fenile,001049,1339,Torino,TO
Candia Canavese,001050,1214,Torino,TO
Canischio,001052,274,Torino,TO
Cantalupa,001053,2590,Torino,TO
Agliè,001001,2638,Torino,TO
Airasca,001002,3696,Torino,TO
Ala di Stura,001003,453,Torino,TO
Albiano d'Ivrea,001004,1641,Torino,TO
Alpette,001007,246,Torino,TO
Andezeno,001009,2058,Torino,TO
Andrate,001010,495,Torino,TO
Angrogna,001011,845,Torino,TO
Arignano,001012,1081,Torino,TO
Azeglio,001014,1250,Torino,TO
Fenestrelle,001103,506,Torino,TO
Fiano,001104,2639,Torino,TO
Fiorano Canavese,001105,764,Torino,TO
Foglizzo,001106,2284,Torino,TO
Forno Canavese,001107,3321,Torino,TO
Frassinetto,001108,263,Torino,TO
Front,001109,1662,Torino,TO
Frossasco,001110,2876,Torino,TO
Garzigliana,001111,551,Torino,TO
Germagnano,001113,1131,Torino,TO
Giaglione,001114,602,Torino,TO
Givoletto,001116,3974,Torino,TO
Gravere,001117,671,Torino,TO
Groscavallo,001118,192,Torino,TO
Grosso,001119,1000,Torino,TO
Ingria,001121,47,Torino,TO
Inverso Pinasca,001122,701,Torino,TO
Isolabella,001123,379,Torino,TO
Issiglio,001124,395,Torino,TO
La Cassa,001126,1795,Torino,TO
Lanzo Torinese,001128,4986,Torino,TO
Lauriano,001129,1494,Torino,TO
Lemie,001131,164,Torino,TO
Lessolo,001132,1802,Torino,TO
Levone,001133,445,Torino,TO
Locana,001134,1427,Torino,TO
Lombardore,001135,1721,Torino,TO
Lombriasco,001136,1053,Torino,TO
Loranzè,001137,1154,Torino,TO
Lusernetta,001140,508,Torino,TO
Lusigliè,001141,565,Torino,TO
Macello,001142,1158,Torino,TO
Maglione,001143,411,Torino,TO
Marentino,001144,1304,Torino,TO
Massello,001145,53,Torino,TO
Mathi,001146,3889,Torino,TO
Mattie,001147,663,Torino,TO
Mazzè,001148,4194,Torino,TO
Meana di Susa,001149,827,Torino,TO
Mercenasco,001150,1269,Torino,TO
Mezzenile,001152,761,Torino,TO
Mombello di Torino,001153,379,Torino,TO
Casalborgone,001060,1880,Torino,TO
Cascinette d'Ivrea,001061,1517,Torino,TO
Caselette,001062,3041,Torino,TO
Castagneto Po,001064,1757,Torino,TO
Castagnole Piemonte,001065,2202,Torino,TO
Castelnuovo Nigra,001067,414,Torino,TO
Cavagnolo,001069,2247,Torino,TO
Cercenasco,001071,1781,Torino,TO
Ceres,001072,1033,Torino,TO
Ceresole Reale,001073,163,Torino,TO
Cesana Torinese,001074,940,Torino,TO
Chialamberto,001075,355,Torino,TO
Chianocco,001076,1590,Torino,TO
Chiaverano,001077,2045,Torino,TO
Chiesanuova,001079,220,Torino,TO
Chiomonte,001080,881,Torino,TO
Chiusa di San Michele,001081,1601,Torino,TO
Ciconio,001083,385,Torino,TO
Cintano,001084,245,Torino,TO
Cinzano,001085,328,Torino,TO
Claviere,001087,204,Torino,TO
Coassolo Torinese,001088,1491,Torino,TO
Coazze,001089,3196,Torino,TO
Colleretto Castelnuovo,001091,302,Torino,TO
Colleretto Giacosa,001092,584,Torino,TO
Condove,001093,4485,Torino,TO
Corio,001094,3183,Torino,TO
Cossano Canavese,001095,463,Torino,TO
Cuceglio,001096,959,Torino,TO
Exilles,001100,238,Torino,TO
Feletto,001102,2240,Torino,TO
Pavarolo,001180,1127,Torino,TO
Pavone Canavese,001181,3757,Torino,TO
Pecetto Torinese,001183,4102,Torino,TO
Perosa Argentina,001184,3169,Torino,TO
Perosa Canavese,001185,527,Torino,TO
Perrero,001186,624,Torino,TO
Pertusio,001187,746,Torino,TO
Pessinetto,001188,617,Torino,TO
Pinasca,001190,2918,Torino,TO
Piobesi Torinese,001193,3856,Torino,TO
Piscina,001195,3350,Torino,TO
Piverone,001196,1373,Torino,TO
Pomaretto,001198,986,Torino,TO
Pont-Canavese,001199,3210,Torino,TO
Porte,001200,1054,Torino,TO
Pragelato,001201,770,Torino,TO
Prali,001202,248,Torino,TO
Pralormo,001203,1908,Torino,TO
Pramollo,001204,217,Torino,TO
Prarostino,001205,1270,Torino,TO
Prascorsano,001206,731,Torino,TO
Pratiglione,001207,481,Torino,TO
Quagliuzzo,001208,330,Torino,TO
Quassolo,001209,352,Torino,TO
Quincinetto,001210,1029,Torino,TO
Reano,001211,1776,Torino,TO
Ribordone,001212,49,Torino,TO
Rivalba,001213,1162,Torino,TO
Riva presso Chieri,001215,4765,Torino,TO
Rivara,001216,2537,Torino,TO
Rivarossa,001218,1577,Torino,TO
Robassomero,001220,3031,Torino,TO
Rocca Canavese,001221,1716,Torino,TO
Roletto,001222,2026,Torino,TO
Romano Canavese,001223,2665,Torino,TO
Ronco Canavese,001224,299,Torino,TO
Rondissone,001225,1883,Torino,TO
Rorà,001226,231,Torino,TO
Roure,001227,789,Torino,TO
Rubiana,001229,2385,Torino,TO
Rueglio,001230,785,Torino,TO
Salassa,001231,1842,Torino,TO
Salbertrand,001232,623,Torino,TO
Salerano Canavese,001233,468,Torino,TO
Salza di Pinerolo,001234,75,Torino,TO
Samone,001235,1532,Torino,TO
San Carlo Canavese,001237,4012,Torino,TO
San Colombano Belmonte,001238,348,Torino,TO
San Didero,001239,524,Torino,TO
San Francesco al Campo,001240,4882,Torino,TO
Sangano,001241,3729,Torino,TO
San Germano Chisone,001242,1747,Torino,TO
San Gillio,001243,3148,Torino,TO
Mompantero,001154,643,Torino,TO
Monastero di Lanzo,001155,335,Torino,TO
Moncenisio,001157,33,Torino,TO
Montaldo Torinese,001158,714,Torino,TO
Montalenghe,001159,989,Torino,TO
Montalto Dora,001160,3380,Torino,TO
Monteu da Po,001162,840,Torino,TO
Moriondo Torinese,001163,852,Torino,TO
Noasca,001165,110,Torino,TO
Nomaglio,001167,295,Torino,TO
Novalesa,001169,526,Torino,TO
Oglianico,001170,1460,Torino,TO
Orio Canavese,001172,767,Torino,TO
Osasco,001173,1168,Torino,TO
Osasio,001174,911,Torino,TO
Oulx,001175,3316,Torino,TO
Ozegna,001176,1192,Torino,TO
Palazzo Canavese,001177,852,Torino,TO
Pancalieri,001178,2046,Torino,TO
Parella,001179,417,Torino,TO
Verrua Savoia,001294,1389,Torino,TO
Vestignè,001295,802,Torino,TO
Vialfrè,001296,248,Torino,TO
Vidracco,001298,513,Torino,TO
Villafranca Piemonte,001300,4602,Torino,TO
Villanova Canavese,001301,1214,Torino,TO
Villarbasse,001302,3482,Torino,TO
Villar Dora,001303,2847,Torino,TO
Villareggia,001304,1010,Torino,TO
Villar Focchiardo,001305,1940,Torino,TO
Villar Pellice,001306,1056,Torino,TO
Villar Perosa,001307,3990,Torino,TO
Villastellone,001308,4624,Torino,TO
Virle Piemonte,001310,1152,Torino,TO
Vische,001311,1226,Torino,TO
Vistrorio,001312,519,Torino,TO
Viù,001313,1021,Torino,TO
Val di Chy,001317,1276,Torino,TO
Valchiusa,001318,1026,Torino,TO
Alagna Valsesia,002002,727,Vercelli,VC
Albano Vercellese,002003,309,Vercelli,VC
Alice Castello,002004,2544,Vercelli,VC
Arborio,002006,863,Vercelli,VC
Asigliano Vercellese,002007,1420,Vercelli,VC
Balmuccia,002008,115,Vercelli,VC
Balocco,002009,217,Vercelli,VC
Bianzè,002011,1876,Vercelli,VC
Boccioleto,002014,170,Vercelli,VC
Borgo d'Ale,002015,2320,Vercelli,VC
Borgo Vercelli,002017,2211,Vercelli,VC
Buronzo,002021,849,Vercelli,VC
Campertogno,002025,230,Vercelli,VC
Carcoforo,002029,74,Vercelli,VC
Caresana,002030,1038,Vercelli,VC
Caresanablot,002031,1109,Vercelli,VC
San Giorgio Canavese,001244,2565,Torino,TO
San Giorio di Susa,001245,971,Torino,TO
San Giusto Canavese,001246,3312,Torino,TO
San Martino Canavese,001247,807,Torino,TO
San Pietro Val Lemina,001250,1426,Torino,TO
San Ponso,001251,263,Torino,TO
San Raffaele Cimena,001252,3107,Torino,TO
San Sebastiano da Po,001253,1895,Torino,TO
San Secondo di Pinerolo,001254,3645,Torino,TO
Sant'Ambrogio di Torino,001255,4711,Torino,TO
Sant'Antonino di Susa,001256,4197,Torino,TO
Sauze di Cesana,001258,245,Torino,TO
Sauze d'Oulx,001259,1090,Torino,TO
Scalenghe,001260,3267,Torino,TO
Scarmagno,001261,826,Torino,TO
Sciolze,001262,1455,Torino,TO
Sestriere,001263,922,Torino,TO
Settimo Rottaro,001264,468,Torino,TO
Settimo Vittone,001266,1542,Torino,TO
Sparone,001267,962,Torino,TO
Strambinello,001268,270,Torino,TO
Tavagnasco,001271,774,Torino,TO
Torrazza Piemonte,001273,2974,Torino,TO
Torre Canavese,001274,604,Torino,TO
Torre Pellice,001275,4543,Torino,TO
Trana,001276,3814,Torino,TO
Traversella,001278,322,Torino,TO
Traves,001279,524,Torino,TO
Usseaux,001281,189,Torino,TO
Usseglio,001282,200,Torino,TO
Vaie,001283,1418,Torino,TO
Val della Torre,001284,3960,Torino,TO
Valgioie,001285,928,Torino,TO
Vallo Torinese,001286,792,Torino,TO
Valperga,001287,3026,Torino,TO
Valprato Soana,001288,95,Torino,TO
Varisella,001289,851,Torino,TO
Vauda Canavese,001290,1452,Torino,TO
Venaus,001291,880,Torino,TO
Cellarengo,005033,709,Asti,AT
Celle Enomondo,005034,470,Asti,AT
Cerreto d'Asti,005035,221,Asti,AT
Cerro Tanaro,005036,594,Asti,AT
Cessole,005037,368,Asti,AT
Chiusano d'Asti,005038,229,Asti,AT
Cinaglio,005039,450,Asti,AT
Cisterna d'Asti,005040,1222,Asti,AT
Coazzolo,005041,292,Asti,AT
Cocconato,005042,1454,Asti,AT
Corsione,005044,203,Asti,AT
Cortandone,005045,308,Asti,AT
Cortanze,005046,274,Asti,AT
Cortazzone,005047,593,Asti,AT
Cortiglione,005048,536,Asti,AT
Cossombrato,005049,521,Asti,AT
Cunico,005051,452,Asti,AT
Dusino San Michele,005052,1072,Asti,AT
Ferrere,005053,1533,Asti,AT
Fontanile,005054,551,Asti,AT
Frinco,005055,731,Asti,AT
Grana,005056,587,Asti,AT
Grazzano Badoglio,005057,608,Asti,AT
Incisa Scapaccino,005058,2138,Asti,AT
Isola d'Asti,005059,2023,Asti,AT
Loazzolo,005060,321,Asti,AT
Maranzana,005061,244,Asti,AT
Maretto,005062,383,Asti,AT
Moasca,005063,502,Asti,AT
Mombaldone,005064,202,Asti,AT
Mombaruzzo,005065,1028,Asti,AT
Mombercelli,005066,2126,Asti,AT
Monale,005067,1001,Asti,AT
Monastero Bormida,005068,912,Asti,AT
San Damiano Macra,004207,407,Cuneo,CN
Sanfrè,004208,3014,Cuneo,CN
Sanfront,004209,2340,Cuneo,CN
San Michele Mondovì,004210,1887,Cuneo,CN
Sant'Albano Stura,004211,2359,Cuneo,CN
Santa Vittoria d'Alba,004212,2861,Cuneo,CN
Santo Stefano Belbo,004213,3959,Cuneo,CN
Santo Stefano Roero,004214,1374,Cuneo,CN
Scagnello,004216,182,Cuneo,CN
Scarnafigi,004217,2133,Cuneo,CN
Serralunga d'Alba,004218,561,Cuneo,CN
Serravalle Langhe,004219,300,Cuneo,CN
Sinio,004220,493,Cuneo,CN
Somano,004221,323,Cuneo,CN
Sommariva Perno,004223,2723,Cuneo,CN
Stroppo,004224,101,Cuneo,CN
Tarantasca,004225,2153,Cuneo,CN
Torre Bormida,004226,165,Cuneo,CN
Torre Mondovì,004227,490,Cuneo,CN
Torre San Giorgio,004228,731,Cuneo,CN
Torresina,004229,46,Cuneo,CN
Treiso,004230,773,Cuneo,CN
Trezzo Tinella,004231,312,Cuneo,CN
Trinità,004232,2235,Cuneo,CN
Valdieri,004233,908,Cuneo,CN
Valgrana,004234,774,Cuneo,CN
Valloriate,004235,104,Cuneo,CN
Venasca,004237,1384,Cuneo,CN
Verduno,004238,528,Cuneo,CN
Vernante,004239,1155,Cuneo,CN
Vezza d'Alba,004241,2313,Cuneo,CN
Vicoforte,004242,3162,Cuneo,CN
Vignolo,004243,2605,Cuneo,CN
Villafalletto,004244,2936,Cuneo,CN
Villanova Solaro,004246,745,Cuneo,CN
Villar San Costanzo,004247,1537,Cuneo,CN
Vinadio,004248,607,Cuneo,CN
Viola,004249,364,Cuneo,CN
Vottignasco,004250,501,Cuneo,CN
Agliano Terme,005001,1578,Asti,AT
Albugnano,005002,500,Asti,AT
Antignano,005003,962,Asti,AT
Aramengo,005004,567,Asti,AT
Serole,005104,113,Asti,AT
Sessame,005105,251,Asti,AT
Settime,005106,530,Asti,AT
Soglio,005107,152,Asti,AT
Tigliole,005108,1713,Asti,AT
Tonco,005109,796,Asti,AT
Tonengo,005110,246,Asti,AT
Vaglio Serra,005111,281,Asti,AT
Valfenera,005112,2418,Asti,AT
Vesime,005113,609,Asti,AT
Viale,005114,241,Asti,AT
Viarigi,005115,861,Asti,AT
Vigliano d'Asti,005116,821,Asti,AT
Villafranca d'Asti,005117,2985,Asti,AT
Villa San Secondo,005119,387,Asti,AT
Vinchio,005120,567,Asti,AT
Montiglio Monferrato,005121,1585,Asti,AT
Albera Ligure,006002,293,Alessandria,AL
Alfiano Natta,006004,742,Alessandria,AL
Alice Bel Colle,006005,732,Alessandria,AL
Altavilla Monferrato,006007,424,Alessandria,AL
Alzano Scrivia,006008,364,Alessandria,AL
Avolasca,006010,262,Alessandria,AL
Balzola,006011,1335,Alessandria,AL
Basaluzzo,006012,2068,Alessandria,AL
Bassignana,006013,1642,Alessandria,AL
Belforte Monferrato,006014,502,Alessandria,AL
Bergamasco,006015,708,Alessandria,AL
Berzano di Tortona,006016,156,Alessandria,AL
Bistagno,006017,1810,Alessandria,AL
Borghetto di Borbera,006018,1951,Alessandria,AL
Borgoratto Alessandrino,006019,558,Alessandria,AL
Borgo San Martino,006020,1384,Alessandria,AL
Bosco Marengo,006021,2311,Alessandria,AL
Bosio,006022,1158,Alessandria,AL
Bozzole,006023,326,Alessandria,AL
Brignano-Frascata,006024,433,Alessandria,AL
Cabella Ligure,006025,481,Alessandria,AL
Camagna Monferrato,006026,478,Alessandria,AL
Camino,006027,733,Alessandria,AL
Cantalupo Ligure,006028,451,Alessandria,AL
Capriata d'Orba,006029,1835,Alessandria,AL
Carbonara Scrivia,006030,1126,Alessandria,AL
Carentino,006031,310,Alessandria,AL
Carezzano,006032,426,Alessandria,AL
Carpeneto,006033,931,Alessandria,AL
Carrega Ligure,006034,85,Alessandria,AL
Carrosio,006035,502,Alessandria,AL
Cartosio,006036,726,Alessandria,AL
Casal Cermelli,006037,1191,Alessandria,AL
Casaleggio Boiro,006038,372,Alessandria,AL
Moncalvo,005069,2833,Asti,AT
Moncucco Torinese,005070,883,Asti,AT
Mongardino,005071,874,Asti,AT
Montabone,005072,321,Asti,AT
Montafia,005073,935,Asti,AT
Montaldo Scarampi,005074,740,Asti,AT
Montechiaro d'Asti,005075,1276,Asti,AT
Montegrosso d'Asti,005076,2320,Asti,AT
Montemagno,005077,1080,Asti,AT
Moransengo,005079,186,Asti,AT
Olmo Gentile,005081,71,Asti,AT
Passerano Marmorito,005082,420,Asti,AT
Penango,005083,460,Asti,AT
Piea,005084,559,Asti,AT
Pino d'Asti,005085,216,Asti,AT
Piovà Massaia,005086,588,Asti,AT
Portacomaro,005087,2021,Asti,AT
Quaranti,005088,166,Asti,AT
Refrancore,005089,1562,Asti,AT
Revigliasco d'Asti,005090,779,Asti,AT
Roatto,005091,374,Asti,AT
Robella,005092,473,Asti,AT
Rocca d'Arazzo,005093,901,Asti,AT
Roccaverano,005094,382,Asti,AT
Rocchetta Palafea,005095,347,Asti,AT
Rocchetta Tanaro,005096,1416,Asti,AT
San Giorgio Scarampi,005098,106,Asti,AT
San Martino Alfieri,005099,683,Asti,AT
San Marzano Oliveto,005100,1017,Asti,AT
San Paolo Solbrito,005101,1209,Asti,AT
Scurzolengo,005103,539,Asti,AT
Grondona,006085,479,Alessandria,AL
Guazzora,006086,303,Alessandria,AL
Isola Sant'Antonio,006087,659,Alessandria,AL
Lerma,006088,817,Alessandria,AL
Malvicino,006090,78,Alessandria,AL
Masio,006091,1318,Alessandria,AL
Melazzo,006092,1294,Alessandria,AL
Merana,006093,181,Alessandria,AL
Mirabello Monferrato,006094,1262,Alessandria,AL
Molare,006095,2104,Alessandria,AL
Molino dei Torti,006096,589,Alessandria,AL
Mombello Monferrato,006097,955,Alessandria,AL
Momperone,006098,199,Alessandria,AL
Moncestino,006099,190,Alessandria,AL
Mongiardino Ligure,006100,149,Alessandria,AL
Monleale,006101,562,Alessandria,AL
Montacuto,006102,251,Alessandria,AL
Montaldeo,006103,237,Alessandria,AL
Montaldo Bormida,006104,619,Alessandria,AL
Montecastello,006105,307,Alessandria,AL
Montechiaro d'Acqui,006106,532,Alessandria,AL
Montegioco,006107,293,Alessandria,AL
Montemarzino,006108,304,Alessandria,AL
Morano sul Po,006109,1385,Alessandria,AL
Morbello,006110,417,Alessandria,AL
Mornese,006111,711,Alessandria,AL
Morsasco,006112,627,Alessandria,AL
Murisengo,006113,1343,Alessandria,AL
Occimiano,006115,1270,Alessandria,AL
Odalengo Grande,006116,438,Alessandria,AL
Odalengo Piccolo,006117,239,Alessandria,AL
Olivola,006118,117,Alessandria,AL
Orsara Bormida,006119,415,Alessandria,AL
Ottiglio,006120,616,Alessandria,AL
Oviglio,006122,1198,Alessandria,AL
Ozzano Monferrato,006123,1382,Alessandria,AL
Paderna,006124,200,Alessandria,AL
Casalnoceto,006040,984,Alessandria,AL
Casasco,006041,119,Alessandria,AL
Cassine,006043,2943,Alessandria,AL
Cassinelle,006044,850,Alessandria,AL
Castellania Coppi,006045,88,Alessandria,AL
Castellar Guidobono,006046,400,Alessandria,AL
Castellazzo Bormida,006047,4454,Alessandria,AL
Castelletto d'Erro,006048,141,Alessandria,AL
Castelletto d'Orba,006049,1925,Alessandria,AL
Castelletto Merli,006050,460,Alessandria,AL
Castelletto Monferrato,006051,1473,Alessandria,AL
Castelnuovo Bormida,006052,636,Alessandria,AL
Castelspina,006054,412,Alessandria,AL
Cavatore,006055,265,Alessandria,AL
Cella Monte,006056,495,Alessandria,AL
Cereseto,006057,405,Alessandria,AL
Cerreto Grue,006058,300,Alessandria,AL
Cerrina Monferrato,006059,1347,Alessandria,AL
Coniolo,006060,440,Alessandria,AL
Conzano,006061,955,Alessandria,AL
Costa Vescovato,006062,323,Alessandria,AL
Cremolino,006063,1036,Alessandria,AL
Denice,006065,170,Alessandria,AL
Dernice,006066,184,Alessandria,AL
Fabbrica Curone,006067,593,Alessandria,AL
Felizzano,006068,2210,Alessandria,AL
Fraconalto,006069,311,Alessandria,AL
Francavilla Bisio,006070,510,Alessandria,AL
Frascaro,006071,440,Alessandria,AL
Frassinello Monferrato,006072,490,Alessandria,AL
Frassineto Po,006073,1378,Alessandria,AL
Fresonara,006074,652,Alessandria,AL
Frugarolo,006075,1928,Alessandria,AL
Fubine Monferrato,006076,1599,Alessandria,AL
Gabiano,006077,1052,Alessandria,AL
Gamalero,006078,816,Alessandria,AL
Garbagna,006079,652,Alessandria,AL
Gavi,006081,4459,Alessandria,AL
