COMUNE,PRO_COM_T,Abitanti,COD_PROV,CC_UTS
Pella,"003115","928","3","0"
Pettenasco,"003116","1350","3","0"
Pisano,"003119","814","3","0"
Pogno,"003120","1381","3","0"
Pombia,"003121","2140","3","0"
Prato Sesia,"003122","1868","3","0"
Recetto,"003129","945","3","0"
Romagnano Sesia,"003130","3860","3","0"
San Maurizio d'Opaglio,"003133","3039","3","0"
San Nazzaro Sesia,"003134","740","3","0"
San Pietro Mosezzo,"003135","1958","3","0"
Sillavengo,"003138","554","3","0"
Sizzano,"003139","1407","3","0"
Soriso,"003140","747","3","0"
Sozzago,"003141","1078","3","0"
Suno,"003143","2731","3","0"
Terdobbiate,"003144","467","3","0"
Tornaco,"003146","921","3","0"
Vaprio d'Agogna,"003153","976","3","0"
Varallo Pombia,"003154","4922","3","0"
Vespolate,"003158","2028","3","0"
Vicolungo,"003159","867","3","0"
Vinzaglio,"003164","546","3","0"
Sutera,"085020","1299","85","0"
Vallelunga Pratameno,"085021","3331","85","0"
Villalba,"085022","1526","85","0"
Aidone,"086002","4674","86","0"
Agrate Conturbia,"003001","1572","3","0"
Ameno,"003002","958","3","0"
Armeno,"003006","2162","3","0"
Barengo,"003012","760","3","0"
Biandrate,"003018","1296","3","0"
Boca,"003019","1152","3","0"
Bogogno,"003021","1275","3","0"
Carrù,"004043","4345","4","0"
Cartignano,"004044","174","4","0"
Bairo,"001015","802","1","0"
Balangero,"001016","3136","1","0"
Baldissero Canavese,"001017","535","1","0"
Baldissero Torinese,"001018","3659","1","0"
Balme,"001019","112","1","0"
Banchette,"001020","3225","1","0"
Barbania,"001021","1598","1","0"
Bardonecchia,"001022","3159","1","0"
Barone Canavese,"001023","578","1","0"
Bibiana,"001025","3476","1","0"
Bobbio Pellice,"001026","546","1","0"
Bollengo,"001027","2135","1","0"
Borgiallo,"001029","597","1","0"
Borgofranco d'Ivrea,"001030","3631","1","0"
Borgomasino,"001031","796","1","0"
Borgone Susa,"001032","2210","1","0"
Bosconero,"001033","3107","1","0"
Bricherasio,"001035","4600","1","0"
Brosso,"001036","401","1","0"
Brozolo,"001037","443","1","0"
Brusasco,"001039","1498","1","0"
Bruzolo,"001040","1519","1","0"
Cantoira,"001054","585","1","0"
Caprie,"001055","2078","1","0"
Caravino,"001056","911","1","0"
Carema,"001057","765","1","0"
Buriasco,"001041","1355","1","0"
Burolo,"001042","1135","1","0"
Busano,"001043","1637","1","0"
Cafasse,"001046","3383","1","0"
Campiglione Fenile,"001049","1339","1","0"
Candia Canavese,"001050","1214","1","0"
Canischio,"001052","274","1","0"
Cantalupa,"001053","2590","1","0"
Agliè,"001001","2638","1","0"
Airasca,"001002","3696","1","0"
Ala di Stura,"001003","453","1","0"
Albiano d'Ivrea,"001004","1641","1","0"
Alpette,"001007","246","1","0"
Andezeno,"001009","2058","1","0"
Andrate,"001010","495","1","0"
Angrogna,"001011","845","1","0"
Arignano,"001012","1081","1","0"
Azeglio,"001014","1250","1","0"
Fenestrelle,"001103","506","1","0"
Fiano,"001104","2639","1","0"
Fiorano Canavese,"001105","764","1","0"
Foglizzo,"001106","2284","1","0"
Forno Canavese,"001107","3321","1","0"
Frassinetto,"001108","263","1","0"
Front,"001109","1662","1","0"
Frossasco,"001110","2876","1","0"
Garzigliana,"001111","551","1","0"
Germagnano,"001113","1131","1","0"
Giaglione,"001114","602","1","0"
Givoletto,"001116","3974","1","0"
Gravere,"001117","671","1","0"
Groscavallo,"001118","192","1","0"
Grosso,"001119","1000","1","0"
Ingria,"001121","47","1","0"
Inverso Pinasca,"001122","701","1","0"
Isolabella,"001123","379","1","0"
Issiglio,"001124","395","1","0"
La Cassa,"001126","1795","1","0"
Lanzo Torinese,"001128","4986","1","0"
Lauriano,"001129","1494","1","0"
Lemie,"001131","164","1","0"
Lessolo,"001132","1802","1","0"
Levone,"001133","445","1","0"
Locana,"001134","1427","1","0"
Lombardore,"001135","1721","1","0"
Lombriasco,"001136","1053","1","0"
Loranzè,"001137","1154","1","0"
Lusernetta,"001140","508","1","0"
Lusigliè,"001141","565","1","0"
Macello,"001142","1158","1","0"
Maglione,"001143","411","1","0"
Marentino,"001144","1304","1","0"
Massello,"001145","53","1","0"
Mathi,"001146","3889","1","0"
Mattie,"001147","663","1","0"
Mazzè,"001148","4194","1","0"
Meana di Susa,"001149","827","1","0"
Mercenasco,"001150","1269","1","0"
Mezzenile,"001152","761","1","0"
Mombello di Torino,"001153","379","1","0"
Casalborgone,"001060","1880","1","0"
Cascinette d'Ivrea,"001061","1517","1","0"
Caselette,"001062","3041","1","0"
Castagneto Po,"001064","1757","1","0"
Castagnole Piemonte,"001065","2202","1","0"
Castelnuovo Nigra,"001067","414","1","0"
Cavagnolo,"001069","2247","1","0"
Cercenasco,"001071","1781","1","0"
Ceres,"001072","1033","1","0"
Ceresole Reale,"001073","163","1","0"
Cesana Torinese,"001074","940","1","0"
Chialamberto,"001075","355","1","0"
Chianocco,"001076","1590","1","0"
Chiaverano,"001077","2045","1","0"
Chiesanuova,"001079","220","1","0"
Chiomonte,"001080","881","1","0"
Chiusa di San Michele,"001081","1601","1","0"
Ciconio,"001083","385","1","0"
Cintano,"001084","245","1","0"
Cinzano,"001085","328","1","0"
Claviere,"001087","204","1","0"
Coassolo Torinese,"001088","1491","1","0"
Coazze,"001089","3196","1","0"
Colleretto Castelnuovo,"001091","302","1","0"
Colleretto Giacosa,"001092","584","1","0"
Condove,"001093","4485","1","0"
Corio,"001094","3183","1","0"
Cossano Canavese,"001095","463","1","0"
Cuceglio,"001096","959","1","0"
Exilles,"001100","238","1","0"
Feletto,"001102","2240","1","0"
Pavarolo,"001180","1127","1","0"
Pavone Canavese,"001181","3757","1","0"
Pecetto Torinese,"001183","4102","1","0"
Perosa Argentina,"001184","3169","1","0"
Perosa Canavese,"001185","527","1","0"
Perrero,"001186","624","1","0"
Pertusio,"001187","746","1","0"
Pessinetto,"001188","617","1","0"
Pinasca,"001190","2918","1","0"
Piobesi Torinese,"001193","3856","1","0"
Piscina,"001195","3350","1","0"
Piverone,"001196","1373","1","0"
Pomaretto,"001198","986","1","0"
Pont-Canavese,"001199","3210","1","0"
Porte,"001200","1054","1","0"
Pragelato,"001201","770","1","0"
Prali,"001202","248","1","0"
Pralormo,"001203","1908","1","0"
Pramollo,"001204","217","1","0"
Prarostino,"001205","1270","1","0"
Prascorsano,"001206","731","1","0"
Pratiglione,"001207","481","1","0"
Quagliuzzo,"001208","330","1","0"
Quassolo,"001209","352","1","0"
Quincinetto,"001210","1029","1","0"
Reano,"001211","1776","1","0"
Ribordone,"001212","49","1","0"
Rivalba,"001213","1162","1","0"
Riva presso Chieri,"001215","4765","1","0"
Rivara,"001216","2537","1","0"
Rivarossa,"001218","1577","1","0"
Robassomero,"001220","3031","1","0"
Rocca Canavese,"001221","1716","1","0"
Roletto,"001222","2026","1","0"
Romano Canavese,"001223","2665","1","0"
Ronco Canavese,"001224","299","1","0"
Rondissone,"001225","1883","1","0"
Rorà,"001226","231","1","0"
Roure,"001227","789","1","0"
Rubiana,"001229","2385","1","0"
Rueglio,"001230","785","1","0"
Salassa,"001231","1842","1","0"
Salbertrand,"001232","623","1","0"
Salerano Canavese,"001233","468","1","0"
Salza di Pinerolo,"001234","75","1","0"
Samone,"001235","1532","1","0"
San Carlo Canavese,"001237","4012","1","0"
San Colombano Belmonte,"001238","348","1","0"
San Didero,"001239","524","1","0"
San Francesco al Campo,"001240","4882","1","0"
Sangano,"001241","3729","1","0"
San Germano Chisone,"001242","1747","1","0"
San Gillio,"001243","3148","1","0"
Mompantero,"001154","643","1","0"
Monastero di Lanzo,"001155","335","1","0"
Moncenisio,"001157","33","1","0"
Montaldo Torinese,"001158","714","1","0"
Montalenghe,"001159","989","1","0"
Montalto Dora,"001160","3380","1","0"
Monteu da Po,"001162","840","1","0"
Moriondo Torinese,"001163","852","1","0"
Noasca,"001165","110","1","0"
Nomaglio,"001167","295","1","0"
Novalesa,"001169","526","1","0"
Oglianico,"001170","1460","1","0"
Orio Canavese,"001172","767","1","0"
Osasco,"001173","1168","1","0"
Osasio,"001174","911","1","0"
Oulx,"001175","3316","1","0"
Ozegna,"001176","1192","1","0"
Palazzo Canavese,"001177","852","1","0"
Pancalieri,"001178","2046","1","0"
Parella,"001179","417","1","0"
Verrua Savoia,"001294","1389","1","0"
Vestignè,"001295","802","1","0"
Vialfrè,"001296","248","1","0"
Vidracco,"001298","513","1","0"
Villafranca Piemonte,"001300","4602","1","0"
Villanova Canavese,"001301","1214","1","0"
Villarbasse,"001302","3482","1","0"
Villar Dora,"001303","2847","1","0"
Villareggia,"001304","1010","1","0"
Villar Focchiardo,"001305","1940","1","0"
Villar Pellice,"001306","1056","1","0"
Villar Perosa,"001307","3990","1","0"
Villastellone,"001308","4624","1","0"
Virle Piemonte,"001310","1152","1","0"
Vische,"001311","1226","1","0"
Vistrorio,"001312","519","1","0"
Viù,"001313","1021","1","0"
Val di Chy,"001317","1276","1","0"
Valchiusa,"001318","1026","1","0"
Alagna Valsesia,"002002","727","2","0"
Albano Vercellese,"002003","309","2","0"
Alice Castello,"002004","2544","2","0"
Arborio,"002006","863","2","0"
Asigliano Vercellese,"002007","1420","2","0"
Balmuccia,"002008","115","2","0"
Balocco,"002009","217","2","0"
Bianzè,"002011","1876","2","0"
Boccioleto,"002014","170","2","0"
Borgo d'Ale,"002015","2320","2","0"
Borgo Vercelli,"002017","2211","2","0"
Buronzo,"002021","849","2","0"
Campertogno,"002025","230","2","0"
Carcoforo,"002029","74","2","0"
Caresana,"002030","1038","2","0"
Caresanablot,"002031","1109","2","0"
San Giorgio Canavese,"001244","2565","1","0"
San Giorio di Susa,"001245","971","1","0"
San Giusto Canavese,"001246","3312","1","0"
San Martino Canavese,"001247","807","1","0"
San Pietro Val Lemina,"001250","1426","1","0"
San Ponso,"001251","263","1","0"
San Raffaele Cimena,"001252","3107","1","0"
San Sebastiano da Po,"001253","1895","1","0"
San Secondo di Pinerolo,"001254","3645","1","0"
Sant'Ambrogio di Torino,"001255","4711","1","0"
Sant'Antonino di Susa,"001256","4197","1","0"
Sauze di Cesana,"001258","245","1","0"
Sauze d'Oulx,"001259","1090","1","0"
Scalenghe,"001260","3267","1","0"
Scarmagno,"001261","826","1","0"
Sciolze,"001262","1455","1","0"
Sestriere,"001263","922","1","0"
Settimo Rottaro,"001264","468","1","0"
Settimo Vittone,"001266","1542","1","0"
Sparone,"001267","962","1","0"
Strambinello,"001268","270","1","0"
Tavagnasco,"001271","774","1","0"
Torrazza Piemonte,"001273","2974","1","0"
Torre Canavese,"001274","604","1","0"
Torre Pellice,"001275","4543","1","0"
Trana,"001276","3814","1","0"
Traversella,"001278","322","1","0"
Traves,"001279","524","1","0"
Usseaux,"001281","189","1","0"
Usseglio,"001282","200","1","0"
Vaie,"001283","1418","1","0"
Val della Torre,"001284","3960","1","0"
Valgioie,"001285","928","1","0"
Vallo Torinese,"001286","792","1","0"
Valperga,"001287","3026","1","0"
Valprato Soana,"001288","95","1","0"
Varisella,"001289","851","1","0"
Vauda Canavese,"001290","1452","1","0"
Venaus,"001291","880","1","0"
Cellarengo,"005033","709","5","0"
Celle Enomondo,"005034","470","5","0"
Cerreto d'Asti,"005035","221","5","0"
Cerro Tanaro,"005036","594","5","0"
Cessole,"005037","368","5","0"
Chiusano d'Asti,"005038","229","5","0"
Cinaglio,"005039","450","5","0"
Cisterna d'Asti,"005040","1222","5","0"
Coazzolo,"005041","292","5","0"
Cocconato,"005042","1454","5","0"
Corsione,"005044","203","5","0"
Cortandone,"005045","308","5","0"
Cortanze,"005046","274","5","0"
Cortazzone,"005047","593","5","0"
Cortiglione,"005048","536","5","0"
Cossombrato,"005049","521","5","0"
Cunico,"005051","452","5","0"
Dusino San Michele,"005052","1072","5","0"
Ferrere,"005053","1533","5","0"
Fontanile,"005054","551","5","0"
Frinco,"005055","731","5","0"
Grana,"005056","587","5","0"
Grazzano Badoglio,"005057","608","5","0"
Incisa Scapaccino,"005058","2138","5","0"
Isola d'Asti,"005059","2023","5","0"
Loazzolo,"005060","321","5","0"
Maranzana,"005061","244","5","0"
Maretto,"005062","383","5","0"
Moasca,"005063","502","5","0"
Mombaldone,"005064","202","5","0"
Mombaruzzo,"005065","1028","5","0"
Mombercelli,"005066","2126","5","0"
Monale,"005067","1001","5","0"
Monastero Bormida,"005068","912","5","0"
San Damiano Macra,"004207","407","4","0"
Sanfrè,"004208","3014","4","0"
Sanfront,"004209","2340","4","0"
San Michele Mondovì,"004210","1887","4","0"
Sant'Albano Stura,"004211","2359","4","0"
Santa Vittoria d'Alba,"004212","2861","4","0"
Santo Stefano Belbo,"004213","3959","4","0"
Santo Stefano Roero,"004214","1374","4","0"
Scagnello,"004216","182","4","0"
Scarnafigi,"004217","2133","4","0"
Serralunga d'Alba,"004218","561","4","0"
Serravalle Langhe,"004219","300","4","0"
Sinio,"004220","493","4","0"
Somano,"004221","323","4","0"
Sommariva Perno,"004223","2723","4","0"
Stroppo,"004224","101","4","0"
Tarantasca,"004225","2153","4","0"
Torre Bormida,"004226","165","4","0"
Torre Mondovì,"004227","490","4","0"
Torre San Giorgio,"004228","731","4","0"
Torresina,"004229","46","4","0"
Treiso,"004230","773","4","0"
Trezzo Tinella,"004231","312","4","0"
Trinità,"004232","2235","4","0"
Valdieri,"004233","908","4","0"
Valgrana,"004234","774","4","0"
Valloriate,"004235","104","4","0"
Venasca,"004237","1384","4","0"
Verduno,"004238","528","4","0"
Vernante,"004239","1155","4","0"
Vezza d'Alba,"004241","2313","4","0"
Vicoforte,"004242","3162","4","0"
Vignolo,"004243","2605","4","0"
Villafalletto,"004244","2936","4","0"
Villanova Solaro,"004246","745","4","0"
Villar San Costanzo,"004247","1537","4","0"
Vinadio,"004248","607","4","0"
Viola,"004249","364","4","0"
Vottignasco,"004250","501","4","0"
Agliano Terme,"005001","1578","5","0"
Albugnano,"005002","500","5","0"
Antignano,"005003","962","5","0"
Aramengo,"005004","567","5","0"
Serole,"005104","113","5","0"
Sessame,"005105","251","5","0"
Settime,"005106","530","5","0"
Soglio,"005107","152","5","0"
Tigliole,"005108","1713","5","0"
Tonco,"005109","796","5","0"
Tonengo,"005110","246","5","0"
Vaglio Serra,"005111","281","5","0"
Valfenera,"005112","2418","5","0"
Vesime,"005113","609","5","0"
Viale,"005114","241","5","0"
Viarigi,"005115","861","5","0"
Vigliano d'Asti,"005116","821","5","0"
Villafranca d'Asti,"005117","2985","5","0"
Villa San Secondo,"005119","387","5","0"
Vinchio,"005120","567","5","0"
Montiglio Monferrato,"005121","1585","5","0"
Albera Ligure,"006002","293","6","0"
Alfiano Natta,"006004","742","6","0"
Alice Bel Colle,"006005","732","6","0"
Altavilla Monferrato,"006007","424","6","0"
Alzano Scrivia,"006008","364","6","0"
Avolasca,"006010","262","6","0"
Balzola,"006011","1335","6","0"
Basaluzzo,"006012","2068","6","0"
Bassignana,"006013","1642","6","0"
Belforte Monferrato,"006014","502","6","0"
Bergamasco,"006015","708","6","0"
Berzano di Tortona,"006016","156","6","0"
Bistagno,"006017","1810","6","0"
Borghetto di Borbera,"006018","1951","6","0"
Borgoratto Alessandrino,"006019","558","6","0"
Borgo San Martino,"006020","1384","6","0"
Bosco Marengo,"006021","2311","6","0"
Bosio,"006022","1158","6","0"
Bozzole,"006023","326","6","0"
Brignano-Frascata,"006024","433","6","0"
Cabella Ligure,"006025","481","6","0"
Camagna Monferrato,"006026","478","6","0"
Camino,"006027","733","6","0"
Cantalupo Ligure,"006028","451","6","0"
Capriata d'Orba,"006029","1835","6","0"
Carbonara Scrivia,"006030","1126","6","0"
Carentino,"006031","310","6","0"
Carezzano,"006032","426","6","0"
Carpeneto,"006033","931","6","0"
Carrega Ligure,"006034","85","6","0"
Carrosio,"006035","502","6","0"
Cartosio,"006036","726","6","0"
Casal Cermelli,"006037","1191","6","0"
Casaleggio Boiro,"006038","372","6","0"
Moncalvo,"005069","2833","5","0"
Moncucco Torinese,"005070","883","5","0"
Mongardino,"005071","874","5","0"
Montabone,"005072","321","5","0"
Montafia,"005073","935","5","0"
Montaldo Scarampi,"005074","740","5","0"
Montechiaro d'Asti,"005075","1276","5","0"
Montegrosso d'Asti,"005076","2320","5","0"
Montemagno,"005077","1080","5","0"
Moransengo,"005079","186","5","0"
Olmo Gentile,"005081","71","5","0"
Passerano Marmorito,"005082","420","5","0"
Penango,"005083","460","5","0"
Piea,"005084","559","5","0"
Pino d'Asti,"005085","216","5","0"
Piovà Massaia,"005086","588","5","0"
Portacomaro,"005087","2021","5","0"
Quaranti,"005088","166","5","0"
Refrancore,"005089","1562","5","0"
Revigliasco d'Asti,"005090","779","5","0"
Roatto,"005091","374","5","0"
Robella,"005092","473","5","0"
Rocca d'Arazzo,"005093","901","5","0"
Roccaverano,"005094","382","5","0"
Rocchetta Palafea,"005095","347","5","0"
Rocchetta Tanaro,"005096","1416","5","0"
San Giorgio Scarampi,"005098","106","5","0"
San Martino Alfieri,"005099","683","5","0"
San Marzano Oliveto,"005100","1017","5","0"
San Paolo Solbrito,"005101","1209","5","0"
Scurzolengo,"005103","539","5","0"
Grondona,"006085","479","6","0"
Guazzora,"006086","303","6","0"
Isola Sant'Antonio,"006087","659","6","0"
Lerma,"006088","817","6","0"
Malvicino,"006090","78","6","0"
Masio,"006091","1318","6","0"
Melazzo,"006092","1294","6","0"
Merana,"006093","181","6","0"
Mirabello Monferrato,"006094","1262","6","0"
Molare,"006095","2104","6","0"
Molino dei Torti,"006096","589","6","0"
Mombello Monferrato,"006097","955","6","0"
Momperone,"006098","199","6","0"
Moncestino,"006099","190","6","0"
Mongiardino Ligure,"006100","149","6","0"
Monleale,"006101","562","6","0"
Montacuto,"006102","251","6","0"
Montaldeo,"006103","237","6","0"
Montaldo Bormida,"006104","619","6","0"
Montecastello,"006105","307","6","0"
Montechiaro d'Acqui,"006106","532","6","0"
Montegioco,"006107","293","6","0"
Montemarzino,"006108","304","6","0"
Morano sul Po,"006109","1385","6","0"
Morbello,"006110","417","6","0"
Mornese,"006111","711","6","0"
Morsasco,"006112","627","6","0"
Murisengo,"006113","1343","6","0"
Occimiano,"006115","1270","6","0"
Odalengo Grande,"006116","438","6","0"
Odalengo Piccolo,"006117","239","6","0"
Olivola,"006118","117","6","0"
Orsara Bormida,"006119","415","6","0"
Ottiglio,"006120","616","6","0"
Oviglio,"006122","1198","6","0"
Ozzano Monferrato,"006123","1382","6","0"
Paderna,"006124","200","6","0"
Casalnoceto,"006040","984","6","0"
Casasco,"006041","119","6","0"
Cassine,"006043","2943","6","0"
Cassinelle,"006044","850","6","0"
Castellania Coppi,"006045","88","6","0"
Castellar Guidobono,"006046","400","6","0"
Castellazzo Bormida,"006047","4454","6","0"
Castelletto d'Erro,"006048","141","6","0"
Castelletto d'Orba,"006049","1925","6","0"
Castelletto Merli,"006050","460","6","0"
Castelletto Monferrato,"006051","1473","6","0"
Castelnuovo Bormida,"006052","636","6","0"
Castelspina,"006054","412","6","0"
Cavatore,"006055","265","6","0"
Cella Monte,"006056","495","6","0"
Cereseto,"006057","405","6","0"
Cerreto Grue,"006058","300","6","0"
Cerrina Monferrato,"006059","1347","6","0"
Coniolo,"006060","440","6","0"
Conzano,"006061","955","6","0"
Costa Vescovato,"006062","323","6","0"
Cremolino,"006063","1036","6","0"
Denice,"006065","170","6","0"
Dernice,"006066","184","6","0"
Fabbrica Curone,"006067","593","6","0"
Felizzano,"006068","2210","6","0"
Fraconalto,"006069","311","6","0"
Francavilla Bisio,"006070","510","6","0"
Frascaro,"006071","440","6","0"
Frassinello Monferrato,"006072","490","6","0"
Frassineto Po,"006073","1378","6","0"
Fresonara,"006074","652","6","0"
Frugarolo,"006075","1928","6","0"
Fubine Monferrato,"006076","1599","6","0"
Gabiano,"006077","1052","6","0"
Gamalero,"006078","816","6","0"
Garbagna,"006079","652","6","0"
Gavi,"006081","4459","6","0"
Giarole,"006082","686","6","0"
Gremiasco,"006083","302","6","0"
Grognardo,"006084","243","6","0"
Rosignano Monferrato,"006149","1498","6","0"
Sala Monferrato,"006150","324","6","0"
Sale,"006151","3994","6","0"
San Cristoforo,"006152","568","6","0"
San Giorgio Monferrato,"006153","1207","6","0"
San Salvatore Monferrato,"006154","4179","6","0"
San Sebastiano Curone,"006155","571","6","0"
Sant'Agata Fossili,"006156","384","6","0"
Sardigliano,"006157","394","6","0"
Sarezzano,"006158","1157","6","0"
Serralunga di Crea,"006159","523","6","0"
Sezzadio,"006161","1264","6","0"
Silvano d'Orba,"006162","1911","6","0"
Solero,"006163","1634","6","0"
Solonghello,"006164","209","6","0"
Spigno Monferrato,"006165","976","6","0"
Spineto Scrivia,"006166","359","6","0"
Stazzano,"006167","2387","6","0"
Strevi,"006168","1910","6","0"
Tagliolo Monferrato,"006169","1538","6","0"
Tassarolo,"006170","617","6","0"
Terruggia,"006171","922","6","0"
Terzo,"006172","854","6","0"
Ticineto,"006173","1341","6","0"
Treville,"006175","276","6","0"
Trisobbio,"006176","676","6","0"
Valmacca,"006178","982","6","0"
Vignale Monferrato,"006179","959","6","0"
Vignole Borbera,"006180","2061","6","0"
Viguzzolo,"006181","3111","6","0"
Villadeati,"006182","479","6","0"
Villalvernia,"006183","896","6","0"
Villamiroglio,"006184","300","6","0"
Villanova Monferrato,"006185","1804","6","0"
Villaromagnano,"006186","662","6","0"
Visone,"006187","1207","6","0"
Volpedo,"006188","1186","6","0"
Volpeglino,"006189","133","6","0"
Voltaggio,"006190","709","6","0"
Cassano Spinola,"006191","1867","6","0"
Alluvioni Piovera,"006192","1689","6","0"
Lu e Cuccaro Monferrato,"006193","1379","6","0"
Allein,"007001","209","7","0"
Antey-Saint-André,"007002","553","7","0"
Arnad,"007004","1243","7","0"
Arvier,"007005","861","7","0"
Avise,"007006","302","7","0"
Ayas,"007007","1380","7","0"
Aymavilles,"007008","2115","7","0"
Bard,"007009","120","7","0"
Pareto,"006125","539","6","0"
Parodi Ligure,"006126","641","6","0"
Pasturana,"006127","1271","6","0"
Pecetto di Valenza,"006128","1187","6","0"
Pietra Marazzi,"006129","895","6","0"
Pomaro Monferrato,"006131","334","6","0"
Pontecurone,"006132","3531","6","0"
Pontestura,"006133","1375","6","0"
Ponti,"006134","578","6","0"
Ponzano Monferrato,"006135","329","6","0"
Ponzone,"006136","1012","6","0"
