COMUNE,PRO_COM_T,Abitanti,COD_PROV,CC_UTS,den_uts,sigla
Bobbio Pellice,"001026","546","1","0",Torino,TO
Bollengo,"001027","2135","1","0",Torino,TO
Borgiallo,"001029","597","1","0",Torino,TO
Borgofranco d'Ivrea,"001030","3631","1","0",Torino,TO
Borgomasino,"001031","796","1","0",Torino,TO
Borgone Susa,"001032","2210","1","0",Torino,TO
Bosconero,"001033","3107","1","0",Torino,TO
Bricherasio,"001035","4600","1","0",Torino,TO
Brosso,"001036","401","1","0",Torino,TO
Brozolo,"001037","443","1","0",Torino,TO
Brusasco,"001039","1498","1","0",Torino,TO
Bruzolo,"001040","1519","1","0",Torino,TO
Cantoira,"001054","585","1","0",Torino,TO
Caprie,"001055","2078","1","0",Torino,TO
Caravino,"001056","911","1","0",Torino,TO
Carema,"001057","765","1","0",Torino,TO
Buriasco,"001041","1355","1","0",Torino,TO
Burolo,"001042","1135","1","0",Torino,TO
Busano,"001043","1637","1","0",Torino,TO
Cafasse,"001046","3383","1","0",Torino,TO
Campiglione Fenile,"001049","1339","1","0",Torino,TO
Candia Canavese,"001050","1214","1","0",Torino,TO
Canischio,"001052","274","1","0",Torino,TO
Cantalupa,"001053","2590","1","0",Torino,TO
Agliè,"001001","2638","1","0",Torino,TO
Airasca,"001002","3696","1","0",Torino,TO
Ala di Stura,"001003","453","1","0",Torino,TO
Albiano d'Ivrea,"001004","1641","1","0",Torino,TO
Alpette,"001007","246","1","0",Torino,TO
Andezeno,"001009","2058","1","0",Torino,TO
Andrate,"001010","495","1","0",Torino,TO
Angrogna,"001011","845","1","0",Torino,TO
Arignano,"001012","1081","1","0",Torino,TO
Azeglio,"001014","1250","1","0",Torino,TO
Fenestrelle,"001103","506","1","0",Torino,TO
Fiano,"001104","2639","1","0",Torino,TO
Fiorano Canavese,"001105","764","1","0",Torino,TO
Foglizzo,"001106","2284","1","0",Torino,TO
Forno Canavese,"001107","3321","1","0",Torino,TO
Frassinetto,"001108","263","1","0",Torino,TO
Front,"001109","1662","1","0",Torino,TO
Frossasco,"001110","2876","1","0",Torino,TO
Garzigliana,"001111","551","1","0",Torino,TO
Germagnano,"001113","1131","1","0",Torino,TO
Giaglione,"001114","602","1","0",Torino,TO
Givoletto,"001116","3974","1","0",Torino,TO
Gravere,"001117","671","1","0",Torino,TO
Groscavallo,"001118","192","1","0",Torino,TO
Grosso,"001119","1000","1","0",Torino,TO
Ingria,"001121","47","1","0",Torino,TO
Inverso Pinasca,"001122","701","1","0",Torino,TO
Isolabella,"001123","379","1","0",Torino,TO
Issiglio,"001124","395","1","0",Torino,TO
La Cassa,"001126","1795","1","0",Torino,TO
Lanzo Torinese,"001128","4986","1","0",Torino,TO
Lauriano,"001129","1494","1","0",Torino,TO
Lemie,"001131","164","1","0",Torino,TO
Lessolo,"001132","1802","1","0",Torino,TO
Levone,"001133","445","1","0",Torino,TO
Locana,"001134","1427","1","0",Torino,TO
Lombardore,"001135","1721","1","0",Torino,TO
Lombriasco,"001136","1053","1","0",Torino,TO
Loranzè,"001137","1154","1","0",Torino,TO
Lusernetta,"001140","508","1","0",Torino,TO
Lusigliè,"001141","565","1","0",Torino,TO
Macello,"001142","1158","1","0",Torino,TO
Maglione,"001143","411","1","0",Torino,TO
Marentino,"001144","1304","1","0",Torino,TO
Massello,"001145","53","1","0",Torino,TO
Mathi,"001146","3889","1","0",Torino,TO
Mattie,"001147","663","1","0",Torino,TO
Mazzè,"001148","4194","1","0",Torino,TO
Meana di Susa,"001149","827","1","0",Torino,TO
Mercenasco,"001150","1269","1","0",Torino,TO
Mezzenile,"001152","761","1","0",Torino,TO
Mombello di Torino,"001153","379","1","0",Torino,TO
Casalborgone,"001060","1880","1","0",Torino,TO
Cascinette d'Ivrea,"001061","1517","1","0",Torino,TO
Caselette,"001062","3041","1","0",Torino,TO
Castagneto Po,"001064","1757","1","0",Torino,TO
Castagnole Piemonte,"001065","2202","1","0",Torino,TO
Castelnuovo Nigra,"001067","414","1","0",Torino,TO
Cavagnolo,"001069","2247","1","0",Torino,TO
Cercenasco,"001071","1781","1","0",Torino,TO
Ceres,"001072","1033","1","0",Torino,TO
Ceresole Reale,"001073","163","1","0",Torino,TO
Cesana Torinese,"001074","940","1","0",Torino,TO
Chialamberto,"001075","355","1","0",Torino,TO
Chianocco,"001076","1590","1","0",Torino,TO
Chiaverano,"001077","2045","1","0",Torino,TO
Chiesanuova,"001079","220","1","0",Torino,TO
Chiomonte,"001080","881","1","0",Torino,TO
Chiusa di San Michele,"001081","1601","1","0",Torino,TO
Ciconio,"001083","385","1","0",Torino,TO
Cintano,"001084","245","1","0",Torino,TO
Cinzano,"001085","328","1","0",Torino,TO
Claviere,"001087","204","1","0",Torino,TO
Coassolo Torinese,"001088","1491","1","0",Torino,TO
Coazze,"001089","3196","1","0",Torino,TO
Colleretto Castelnuovo,"001091","302","1","0",Torino,TO
Colleretto Giacosa,"001092","584","1","0",Torino,TO
Condove,"001093","4485","1","0",Torino,TO
Corio,"001094","3183","1","0",Torino,TO
Cossano Canavese,"001095","463","1","0",Torino,TO
Cuceglio,"001096","959","1","0",Torino,TO
Exilles,"001100","238","1","0",Torino,TO
Feletto,"001102","2240","1","0",Torino,TO
Pavarolo,"001180","1127","1","0",Torino,TO
Pavone Canavese,"001181","3757","1","0",Torino,TO
Pecetto Torinese,"001183","4102","1","0",Torino,TO
Perosa Argentina,"001184","3169","1","0",Torino,TO
Perosa Canavese,"001185","527","1","0",Torino,TO
Perrero,"001186","624","1","0",Torino,TO
Pertusio,"001187","746","1","0",Torino,TO
Pessinetto,"001188","617","1","0",Torino,TO
Pinasca,"001190","2918","1","0",Torino,TO
Piobesi Torinese,"001193","3856","1","0",Torino,TO
