PRO_COM_T,Abitanti
012031,2595
012032,14854
012033,6682
012034,18178
012035,4882
012036,2719
012037,1384
012038,3705
012039,5714
012040,21801
012041,662
012042,14438
012043,559
012044,1305
012045,1961
012046,7697
012047,5106
012048,5768
012049,817
012050,10429
012051,3832
012052,1943
012053,4699
012054,1209
012055,2931
012056,785
012057,609
012058,3611
012059,3099
012060,2991
012061,165
012062,3341
012063,1673
012064,3035
012065,1490
012066,124
012067,12479
012068,6789
012069,699
012070,53934
012071,996
012072,9291
012073,4626
012074,2882
012075,10891
012076,3897
012077,2635
012078,4947
012079,8311
012080,2171
012081,1255
012082,1066
012083,10450
012084,5298
012085,5258
012086,6035
012087,8645
012088,3738
012089,5054
012090,11671
012091,1258
012092,14575
012093,1340
012095,1270
012096,16723
012097,3597
012098,8024
012099,316
012100,303
012101,1836
012102,1613
012103,1499
012104,1933
012105,4275
012106,4968
012107,4319
012108,12612
012109,7938
012110,821
012113,2941
012114,2330
012115,930
012116,1310
012117,3083
012118,16174
012119,39332
012120,11150
012121,4081
012122,5433
012123,18026
012124,6095
012125,3676
012126,2592
012127,19087
012128,4079
012129,227
012130,10709
012131,1591
012132,2453
012133,80645
012134,7426
012136,6093
012137,7434
012138,8718
012139,5230
012140,572
012141,1490
012142,2580
012143,2672
013003,6400
013004,4222
013005,2730
013006,1294
013007,4900
013009,1835
013010,7767
013011,679
013012,5163
013013,3572
013015,582
013021,329
013022,2780
013023,4792
013024,1722
013025,286
013026,1217
013028,6579
013029,2180
013030,330
013032,1685
013034,4081
013035,7524
013036,8013
013037,494
013040,2003
013041,40031
013042,5188
013043,5573
013044,1144
013045,2956
013046,4491
013047,3187
013048,6649
013052,1665
013053,4984
013055,3373
013058,1257
013059,907
013062,203
013063,545
013064,9265
013065,6653
013068,2135
013071,568
013074,499
013075,85915
013077,825
013083,674
013084,3495
013085,224
013087,607
013089,1482
013090,3289
013092,248
013095,16335
013097,2618
013098,1162
013099,4780
013100,3227
013101,5108
013102,9850
013106,708
013107,1035
013110,2852
013111,1325
013113,620
013114,5841
013118,9198
013119,891
013120,531
013121,2489
013123,471
013126,2024
013128,3898
013129,5977
013130,166
013131,4337
013133,10091
013134,1937
013135,2767
013136,5482
013137,2596
013138,9880
013139,652
013143,25353
013144,3269
013145,3124
013147,4092
013152,1596
013153,2378
013154,5340
013155,221
013157,2600
013159,8789
013160,958
013161,1202
013163,2863
013165,11810
013169,2404
013170,2703
013178,186
013183,1062
013184,237
013185,834
013186,692
013187,233
013188,4364
013189,4947
013192,944
013193,1383
013195,305
013197,1308
013199,1715
013201,7945
013202,6231
013203,508
013204,991
013206,7859
013207,290
013211,870
013212,3158
013216,1234
013217,640
013218,617
013222,5755
013223,1150
013226,232
013227,9541
013228,4940
013229,2665
013232,2687
013233,162
013234,1499
013236,200
013238,3064
013239,756
013242,4176
013245,8038
013246,197
013248,1752
013249,4153
013250,3694
013251,5482
013252,5123
013253,2949
013254,3598
013255,4721
014001,286
014002,2997
014003,587
014004,1546
014005,3257
014006,118
014007,4098
014008,1295
014009,4161
014010,1999
014011,1084
014012,934
014013,1367
014014,619
014015,1575
014016,430
014017,794
014018,7330
014019,2433
014020,2525
014021,340
014022,1127
014023,1377
014024,5467
014025,457
014026,3344
014027,3711
014028,554
014029,796
014030,562
014031,157
014032,1957
014033,4471
014034,1670
014035,533
014036,1300
014037,6769
014038,630
014039,742
014040,995
014041,940
014043,1821
014044,2966
014045,12443
014046,1904
014047,37
014048,1407
014049,2144
014050,1919
014051,1852
014052,2252
014053,661
014054,2957
014055,289
014056,545
014057,2904
014058,354
014059,488
014060,4043
014061,21457
014062,81
014063,4684
014064,195
014065,4524
014066,8986
014067,751
014068,647
014069,2853
014070,2016
014071,4179
014072,3614
014073,2551
014074,868
014075,1076
014076,214
014077,956
014078,2969
015002,32855
015005,4735
015007,6694
015009,19683
015010,12319
015011,9202
015012,17344
015014,3702
015015,8084
015016,3868
015019,3059
015022,2054
015024,7245
015026,4093
015027,36761
015032,26410
015035,2438
015036,27070
015038,4648
015040,8424
015041,13978
015042,1225
015044,7128
015046,12637
015050,4168
015051,15678
015055,4033
015058,5469
015059,19162
015060,14016
015061,1856
015062,11215
015070,34980
015071,5101
015072,15221
015074,23966
015076,14457
015077,76264
015078,4876
015081,48030
015082,2064
015085,18517
015086,20516
015087,20581
015093,35038
015096,8260
015097,4263
015098,18944
015099,6443
015101,3012
015103,9205
015105,27135
015106,8765
015108,20835
015110,3071
015112,1622
015113,8658
015114,11321
015115,9076
015116,26214
015118,60336
015122,4134
015125,10341
015130,24388
015131,9277
015134,6167
015136,3634
015139,12294
015140,18379
015142,18670
015144,4231
015146,1396059
015150,1057
015151,8078
015154,17142
015155,649
015157,20107
015158,4577
015159,14100
015164,4326
015165,1435
015166,47467
015167,5921
015168,28096
015169,11290
015170,11473
015171,23944
015172,9087
015173,15919
015175,37226
015176,8398
015177,6229
015178,8598
015179,7385
015181,14217
015182,51323
015183,4853
015184,6816
015185,4586
015188,5817
015189,42557
015191,7452
015192,32844
015194,6718
015195,39085
015200,5033
015201,8340
015202,4466
015204,12484
015205,36579
015206,21625
015209,81841
015210,7439
015211,20204
015213,14102
015219,5265
015220,21303
015221,12171
015222,3641
015224,5856
015226,7164
015229,9358
015230,9294
015236,3315
015237,9286
015242,17153
015243,9276
015244,4007
015247,6904
015248,6207
015249,5249
015250,12270
015251,5742
016001,2191
016002,812
016003,8380
016004,17800
016005,5540
016006,6373
016007,5657
016008,13683
016009,2392
016010,3224
016011,4858
016012,3428
016013,2737
016014,182
016015,557
016016,7625
016017,388
016018,4396
016019,698
016020,4237
016021,2001
016022,709
016023,2443
016024,121781
016025,1397
016026,590
016027,76
016028,6416
016029,6220
016030,10158
016031,6696
016032,1166
016033,999
016034,5108
016035,715
016036,694
016037,8585
016038,7939
016040,6030
016041,114
016042,5613
016043,6082
016044,5352
016046,8310
016047,4304
016048,599
016049,4327
016050,1210
016051,8241
016052,3086
016053,16297
016055,4823
016056,300
016057,4713
016058,3970
016059,4121
016060,3186
016061,113
016062,10502
016063,2847
016064,3391
016065,1292
016066,2635
016067,1645
016068,2552
016069,3904
016070,4166
016071,1588
016072,3448
016073,6116
016074,6311
016075,5494
016076,5124
016077,8657
016078,1122
016079,11178
016080,1648
016081,4436
016082,933
016083,1941
016084,3381
016085,557
016086,9035
016087,4168
016088,3610
016089,7564
016090,227
016091,23669
016092,894
016093,3429
016094,2010
016096,8042
016097,1294
016098,3121
016099,1137
016100,2996
016101,4726
016102,565
016103,187
016104,3085
016105,3428
016106,207
016107,998
016108,5367
016109,1491
016110,856
016111,5006
016113,6165
016114,5182
016115,6565
016116,1519
016117,6487
016118,1195
016119,886
016120,7450
016121,173
016122,648
016123,4162
016124,4411
016125,574
016126,3748
016127,831
016128,5182
016129,2863
016130,894
016131,4083
016132,6925
016133,10755
016134,162
016135,2974
016136,207
016137,1165
016139,3313
016140,2511
016141,2968
016142,4500
016143,7427
016144,11514
016145,494
016146,990
016147,146
016148,583
016149,907
016150,1706
016151,147
016152,5326
016153,12655
016154,2118
016155,4049
016156,4487
016157,5778
016158,2711
016159,357
016160,6026
016161,1777
016162,1461
016163,1065
016164,1205
016165,394
016166,89
016167,1602
016168,1770
016169,6812
016170,11617
016171,3358
016172,5026
016173,4592
016174,1880
016175,1102
016176,4839
016177,1699
016178,5966
016179,1230
016180,913
016182,3871
016183,20810
016184,420
016185,801
016186,920
016187,4158
016188,4732
016189,5780
016190,4827
016191,540
016193,6800
016194,9925
016195,1153
016196,2510
016197,2020
016198,25380
016199,2062
016200,1804
016201,710
016202,9120
016203,4497
016204,5305
016205,996
016206,5736
016207,13299
016208,1068
016209,3820
016210,546
016211,2018
016212,5081
016213,8078
016214,8825
016215,2163
016216,2458
016217,1114
016218,9771
016219,30630
016220,10945
016221,1380
016222,9925
016223,1015
016224,4372
016225,595
016226,132
016227,213
016229,261
016230,189
016232,7525
016233,8202
016234,4553
016235,1131
016236,1349
016237,579
016238,4645
016239,6683
016240,6774
016241,1832
016242,8168
016243,1447
016244,2738
016245,8804
016246,8801
016247,897
016248,658
016249,297
016250,2402
016251,2038
016252,3892
016253,4256
017001,1504
017002,7251
017003,1665
017004,2425
017005,467
017006,2344
017007,3614
017008,3396
017009,12619
017010,3807
017011,2320
017012,1159
017013,2329
017014,12229
017015,2791
017016,1582
017017,2468
017018,3771
017019,1336
017020,5394
017021,9264
017022,2667
017023,10847
017024,2094
017025,7561
017026,1710
017027,690
017028,4814
017029,199579
017030,735
017031,2134
017032,13140
017033,3583
017034,8525
017035,2441
017036,349
017037,4616
017038,9512
017039,13037
017040,8416
017041,6684
017042,11012
017043,11571
017044,1660
017045,7423
017046,10971
017047,1141
017048,4879
017049,654
017050,1814
017051,843
017052,19256
017053,1524
017054,536
017055,2738
017056,8795
017057,4598
017058,2037
017059,7579
017060,4012
017061,15746
017062,7155
017063,1927
017064,1420
017065,15656
017066,5581
017067,29599
017068,4474
017069,8741
017070,5216
017071,2022
017072,8942
017073,4660
017074,2658
017075,11559
017076,2826
017077,12359
017078,18630
017079,2143
017080,5079
017081,16719
017082,1899
017083,357
017084,128
017085,9155
017086,4126
017087,515
017088,14262
017089,1142
017090,1666
017091,3842
017092,16812
017093,557
017094,611
017095,386
017096,22002
017097,1466
017098,110
017099,3542
017100,2003
017101,3106
017102,5414
017103,13318
017104,4274
017105,655
017106,3146
017107,12481
017108,1733
017109,2621
017110,536
017111,1688
017112,4558
017113,26144
017114,5122
017115,780
017116,2675
017117,10746
017118,2018
017119,3923
017120,4758
017121,1929
017122,4077
017123,3208
017124,980
017125,12552
017126,2484
017127,14947
017128,1530
017129,4729
017130,3671
017131,175
017132,2126
017133,20316
017134,4853
017135,599
017136,7022
017137,2763
017138,4495
017139,540
017140,605
017141,1469
017142,4770
017143,7904
017144,2475
017145,2710
017146,3769
017147,5245
017148,1752
017149,7060
017150,6947
017151,3570
017152,2892
017153,1533
017155,6966
017156,7283
017157,893
017158,3477
017159,6254
017160,3399
017161,13496
017162,4800
017163,9841
017164,4430
017165,9460
017166,19421
017167,5829
017168,3979
017169,3350
017170,10619
017171,3448
017172,2666
017173,4777
017174,13265
017175,872
017176,1428
017177,1455
017178,3057
017179,8336
017180,1920
017181,1253
017182,1963
017183,1250
017184,1124
017185,1211
017186,6517
017187,7765
017188,13922
017189,2077
017190,5460
017191,521
017192,3731
017193,1442
017194,178
017195,8156
017196,3770
017197,4288
017198,1454
017199,10766
017200,1386
017201,5845
017202,654
017203,2013
017204,8223
017205,1054
017206,4713
018001,818
018002,240
018003,534
018004,3638
018005,1564
018006,362
018007,642
018008,854
018009,1808
018011,955
018012,675
018013,6312
018014,2908
018015,2646
018016,1385
018017,415
018018,945
018019,2671
018020,626
018021,530
018022,737
018023,3501
018024,9636
018025,107
018026,1097
018027,1515
018029,1369
018030,1436
018031,451
018032,880
018033,2472
018034,8893
018035,6950
018036,729
018037,6731
018038,1050
018039,1110
018040,535
018041,6732
018042,224
018043,2261
018044,181
018045,707
018046,5500
018047,1180
018048,3984
018049,1304
018050,5454
018051,958
018052,1580
018053,1772
018054,772
018057,1027
018058,395
018059,367
018060,4928
018061,4615
018062,1097
018063,810
018064,358
018065,1160
018066,194
018067,209
018068,9920
018069,9633
018071,1411
018072,5334
018073,3243
018074,189
018075,2738
018076,4389
018077,1471
018078,6517
018079,360
018080,1154
018081,2830
018082,125
018083,2107
018084,2459
018085,1743
018086,2507
018087,1661
018088,6404
018089,355
018090,1053
018091,472
018092,1347
018093,3830
018094,884
018095,1543
018096,520
018097,408
018098,271
018099,693
018100,1658
018101,626
018102,15609
018103,289
018104,721
018105,169
018106,1098
018107,1884
018108,313
018109,1940
018110,73334
018111,808
018112,872
018113,1828
018114,2655
018115,1714
018116,692
018117,779
018118,1480
018119,410
018120,1037
018121,1577
018122,5299
018123,5850
018124,541
018125,83
018126,209
018127,626
018128,629
018129,1558
018130,555
018131,875
018133,489
018134,643
018135,3952
018136,1060
018137,6448
018138,5298
018139,1900
018140,1592
018141,973
018142,472
018143,2299
018144,793
018145,553
018146,1539
018147,887
018148,204
018149,663
018150,6273
018151,1164
018152,526
018153,11650
018154,616
018155,1608
018156,554
018157,939
018158,316
018159,2410
018160,3538
018161,823
018162,4463
018163,2330
018164,3736
018165,1023
018166,582
018167,209
018168,2149
018169,1481
018171,3094
018172,98
018173,3355
018174,375
018175,1253
018176,6576
018177,63623
018178,67
018179,780
018180,3396
018181,1579
018182,39345
018183,120
018184,978
018185,1692
018186,1005
018187,478
018188,391
018189,1745
018190,3123
018191,848
018192,2583
018193,1071
019001,1163
019002,3917
019003,2011
019004,608
019005,4919
019006,1467
019007,580
019009,1171
019010,1239
019011,673
019012,2165
